utterance	output
I just sent money but the person I sent it to doesn't see it. What happened?	[IN:TRANSFER_NOT_RECEIVED_BY_RECIPIENT I just sent money but the person I sent it to doesn't see it. What happened?]
How do I verify my identity online	[IN:VERIFY_MY_IDENTITY How do I verify my identity online]
When can I expect my new card to get here?	[IN:CARD_DELIVERY_ESTIMATE When can I expect my new card to get here?]
I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?	[IN:DIRECT_DEBIT_PAYMENT_NOT_RECOGNISED I saw money was taken out of my account by a seller a while back. I do not recognize the seller, but I'm pretty certain I didn't make that payment. Can you track who the seller is?]
How do I get a card if I live in the US?	[IN:COUNTRY_SUPPORT How do I get a card if I live in the US?]
Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.	[IN:FAILED_TRANSFER Hi, I am currently in the process of buying a flat and I am waiting for the mortgage to go through but it keeps showing up as an error.  Do you know what could be causing this and can you help me get the money over.]
The top-up did not go through.	[IN:TOP_UP_FAILED The top-up did not go through.]
Am I charged for receiving money?	[IN:TOP_UP_BY_BANK_TRANSFER_CHARGE Am I charged for receiving money?]
How do I go about getting hold of a virtual card?	[IN:GETTING_VIRTUAL_CARD How do I go about getting hold of a virtual card?]
Why would my top up be reverted?	[IN:TOP_UP_REVERTED Why would my top up be reverted?]
My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?	[IN:PENDING_CASH_WITHDRAWAL My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?]
I tried pulling out money at the ATM and it gave me an incorrect amount back.	[IN:WRONG_AMOUNT_OF_CASH_RECEIVED I tried pulling out money at the ATM and it gave me an incorrect amount back.]
I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?	[IN:PENDING_CASH_WITHDRAWAL I didn't receive my money earlier and it says the transaction is still in progress. Can you fix it?]
I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening?	[IN:REVERTED_CARD_PAYMENT? I am not able to purchase anything online! I have been using my card on multiple sites over a period of two weeks and none of the payments have gone through. Why is this happening?]
Can I use my card to withdraw from my account?	[IN:ATM_SUPPORT Can I use my card to withdraw from my account?]
I see I was charged extra when I used the card.  I am not sure why, please tell me why.	[IN:CARD_PAYMENT_FEE_CHARGED I see I was charged extra when I used the card.  I am not sure why, please tell me why.]
I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives	[IN:TOP_UP_FAILED I really need to top-up my card today urgently but my card keeps getting declined!! Can you please resolve this problem or let me know if you have any alternatives]
How come when I tried to pay contactless at the bus it didnt work?	[IN:CONTACTLESS_NOT_WORKING How come when I tried to pay contactless at the bus it didnt work?]
There is a record of payment I never submitted on the app.	[IN:CARD_PAYMENT_NOT_RECOGNISED There is a record of payment I never submitted on the app.]
My refund has not arrived, and I am unsure why. Who do I contact?	[IN:REFUND_NOT_SHOWING_UP My refund has not arrived, and I am unsure why. Who do I contact?]
What is the procedure for depositing a virtual card	[IN:GET_DISPOSABLE_VIRTUAL_CARD What is the procedure for depositing a virtual card]
What kind of costs are involved for exchanging currency?	[IN:EXCHANGE_CHARGE What kind of costs are involved for exchanging currency?]
Is there a reason why my virtual card won't work?	[IN:VIRTUAL_CARD_NOT_WORKING Is there a reason why my virtual card won't work?]
I tried to do a transfer but I got a message that it was declined.	[IN:DECLINED_TRANSFER I tried to do a transfer but I got a message that it was declined.]
How can I dispute a direct debit transaction?	[IN:DIRECT_DEBIT_PAYMENT_NOT_RECOGNISED How can I dispute a direct debit transaction?]
Why has transferring money resulted in a charge?	[IN:TRANSFER_FEE_CHARGED Why has transferring money resulted in a charge?]
Who do I make a check out to if I want to top off my account?	[IN:TOP_UP_BY_CASH_OR_CHEQUE Who do I make a check out to if I want to top off my account?]
Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?	[IN:FAILED_TRANSFER Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?]
I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?	[IN:REQUEST_REFUND I don't want to buy this car anymore, can I cancel the transaction and get a quick refund back?]
I need to make several disposable cards per day.	[IN:DISPOSABLE_CARD_LIMITS I need to make several disposable cards per day.]
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?	[IN:PENDING_CASH_WITHDRAWAL I made a cash withdrawal earlier and it's showing as pending.  What does that mean?]
Can you tell me how to tell where my funds come from?	[IN:VERIFY_SOURCE_OF_FUNDS Can you tell me how to tell where my funds come from?]
I can't find the auto-top up option.	[IN:AUTOMATIC_TOP_UP I can't find the auto-top up option.]
What fee will be charged for exchanges?	[IN:EXCHANGE_CHARGE What fee will be charged for exchanges?]
Can turn my money into another currency?	[IN:EXCHANGE_VIA_APP Can turn my money into another currency?]
How long does it take for something to be delivered to the U.S?	[IN:CARD_DELIVERY_ESTIMATE How long does it take for something to be delivered to the U.S?]
is there a fee for swift transfer	[IN:TOP_UP_BY_BANK_TRANSFER_CHARGE is there a fee for swift transfer]
What is the process to get a new card when your old one expires?	[IN:CARD_ABOUT_TO_EXPIRE What is the process to get a new card when your old one expires?]
I need to urgently transfer something from China. How long will it approximately take?	[IN:TRANSFER_TIMING I need to urgently transfer something from China. How long will it approximately take?]
The money has not yet been placed in recipients account.	[IN:TRANSFER_NOT_RECEIVED_BY_RECIPIENT The money has not yet been placed in recipients account.]
Is top-up possible with Apple Pay?	[IN:APPLE_PAY_OR_GOOGLE_PAY Is top-up possible with Apple Pay?]
Why was my top up cancelled?	[IN:TOP_UP_REVERTED Why was my top up cancelled?]
why do I have to show my ID	[IN:VERIFY_MY_IDENTITY why do I have to show my ID]
Why do I see a random withdrawal in my app?	[IN:CASH_WITHDRAWAL_NOT_RECOGNISED Why do I see a random withdrawal in my app?]
How long does it take for the transfer to go through?	[IN:TRANSFER_NOT_RECEIVED_BY_RECIPIENT How long does it take for the transfer to go through?]
I cannot get my google pay to work.	[IN:APPLE_PAY_OR_GOOGLE_PAY I cannot get my google pay to work.]
Why would my payment for my card show as pending?	[IN:PENDING_CARD_PAYMENT Why would my payment for my card show as pending?]
Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.	[IN:REVERTED_CARD_PAYMENT? Can you tell me why my card isn't letting me make purchases online? It's been 2 weeks I've been trying.]
How can I prove I am me?	[IN:VERIFY_MY_IDENTITY How can I prove I am me?]
Please cancel my last transaction.	[IN:CANCEL_TRANSFER Please cancel my last transaction.]
What do I do if my top-up has not gone through?	[IN:PENDING_TOP_UP What do I do if my top-up has not gone through?]
Can my PIN be changed in any cash machine?	[IN:CHANGE_PIN Can my PIN be changed in any cash machine?]
Can I get paid for this in another currency?	[IN:RECEIVING_MONEY Can I get paid for this in another currency?]
Can you please explain the topping up transfer process?	[IN:TRANSFER_INTO_ACCOUNT Can you please explain the topping up transfer process?]
Waiting for the cash I deposited this morning still	[IN:BALANCE_NOT_UPDATED_AFTER_CHEQUE_OR_CASH_DEPOSIT Waiting for the cash I deposited this morning still]
I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?	[IN:BALANCE_NOT_UPDATED_AFTER_BANK_TRANSFER I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?]
My payment shows that it is pending will I be charged more money?	[IN:PENDING_TRANSFER My payment shows that it is pending will I be charged more money?]
Why should I verify the top-up?	[IN:VERIFY_TOP_UP Why should I verify the top-up?]
Please tell me about disposable cards.	[IN:GET_DISPOSABLE_VIRTUAL_CARD Please tell me about disposable cards.]
I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?	[IN:WRONG_AMOUNT_OF_CASH_RECEIVED I'm at the ATM right now and it only allowed me to withdraw 10 pounds instead of my requested 30. What's going on? How can I fix this?]
Why do you need to perform identity verification?	[IN:WHY_VERIFY_IDENTITY Why do you need to perform identity verification?]
What are the steps needed to top up with Apple Pay?	[IN:APPLE_PAY_OR_GOOGLE_PAY What are the steps needed to top up with Apple Pay?]
I want to change the wrong exchange rate.	[IN:CARD_PAYMENT_WRONG_EXCHANGE_RATE I want to change the wrong exchange rate.]
A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.	[IN:CANCEL_TRANSFER A transfer has been made in my account that I need to cancel.  This was a mistake on my part and I hope we can get this resolved quickly.]
Help! My account doesn't show any funds. Is transferring funds an option I can use?	[IN:TRANSFER_INTO_ACCOUNT Help! My account doesn't show any funds. Is transferring funds an option I can use?]
How long does it take to make an urgent transfer from China?	[IN:TRANSFER_TIMING How long does it take to make an urgent transfer from China?]
Shouldn't my new card be here by now?	[IN:CARD_ARRIVAL Shouldn't my new card be here by now?]
Why hasn't a transaction I did to my friend arrived yet?	[IN:TRANSFER_NOT_RECEIVED_BY_RECIPIENT Why hasn't a transaction I did to my friend arrived yet?]
I could not get my card to work at a shop.	[IN:DECLINED_CARD_PAYMENT I could not get my card to work at a shop.]
Where can the cards be delivered?	[IN:ORDER_PHYSICAL_CARD Where can the cards be delivered?]
How long does it take to recieve my new card?	[IN:CARD_ARRIVAL How long does it take to recieve my new card?]
Would it be possible to open up an account for children?	[IN:AGE_LIMIT Would it be possible to open up an account for children?]
Why am I not allowed to add a certain beneficiary?	[IN:BENEFICIARY_NOT_ALLOWED Why am I not allowed to add a certain beneficiary?]
My new card hasn't came in.	[IN:CARD_ARRIVAL My new card hasn't came in.]
How do I replace a stolen card?	[IN:LOST_OR_STOLEN_CARD How do I replace a stolen card?]
Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal.	[IN:WRONG_EXCHANGE_RATE_FOR_CASH_WITHDRAWAL Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal.]
Can I get an actual card	[IN:ORDER_PHYSICAL_CARD Can I get an actual card]
How do I get a new card as your machine swallowed mine!	[IN:CARD_SWALLOWED How do I get a new card as your machine swallowed mine!]
What are the restrictions on the virtual cards?	[IN:DISPOSABLE_CARD_LIMITS What are the restrictions on the virtual cards?]
After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?	[IN:PENDING_CARD_PAYMENT After making a payment with my card it doesn't seem to have worked. It's just showing to be pending. When will this actually be going through?]
I keep trying to make a payment, but it doesn't work.	[IN:DECLINED_CARD_PAYMENT I keep trying to make a payment, but it doesn't work.]
Is it possible to have a second card?	[IN:GETTING_SPARE_CARD Is it possible to have a second card?]
How can I verify my top-up card?	[IN:VERIFY_TOP_UP How can I verify my top-up card?]
What do the disposable cards do?	[IN:GET_DISPOSABLE_VIRTUAL_CARD What do the disposable cards do?]
Is there something wrong with my ATM Card?  Tried using it earlier and it did not work.	[IN:DECLINED_CASH_WITHDRAWAL Is there something wrong with my ATM Card?  Tried using it earlier and it did not work.]
If i want to change my pin number can I directly from an ATM?	[IN:CHANGE_PIN If i want to change my pin number can I directly from an ATM?]
where can I get the info for my funds	[IN:VERIFY_SOURCE_OF_FUNDS where can I get the info for my funds]
I would like to track the card you sent to me.	[IN:CARD_ARRIVAL I would like to track the card you sent to me.]
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.	[IN:PENDING_TRANSFER What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.]
Need help with a stolen card.	[IN:LOST_OR_STOLEN_CARD Need help with a stolen card.]
What is the expected delivery date for my card?	[IN:CARD_ARRIVAL What is the expected delivery date for my card?]
Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?	[IN:WRONG_AMOUNT_OF_CASH_RECEIVED Hi, I used an ATM today to take money out of my account, but the amount it gave me is not the amount I requested. What should I do?]
After a transfer, I see an extra fee.  Why?	[IN:TRANSFER_FEE_CHARGED After a transfer, I see an extra fee.  Why?]
My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money	[IN:CASH_WITHDRAWAL_NOT_RECOGNISED My wallet got stolen a couple hours ago and now I've seen there already is a withdrawal. Help this is absolutely urgent I don't want to loose more money]
Is ordering a new card from China available?	[IN:CARD_ABOUT_TO_EXPIRE Is ordering a new card from China available?]
My card hasn't came in the mail yet?	[IN:CARD_ARRIVAL My card hasn't came in the mail yet?]
I topped up my account but the app failed to process it.	[IN:TOP_UP_FAILED I topped up my account but the app failed to process it.]
I made a check and cash deposit that wasn't credited to my account.	[IN:BALANCE_NOT_UPDATED_AFTER_CHEQUE_OR_CASH_DEPOSIT I made a check and cash deposit that wasn't credited to my account.]
My statement shows different transaction times.	[IN:TRANSACTION_CHARGED_TWICE My statement shows different transaction times.]
where to i get my funds from?	[IN:VERIFY_SOURCE_OF_FUNDS where to i get my funds from?]
Are there any ATM's near me that accept this card?	[IN:ATM_SUPPORT Are there any ATM's near me that accept this card?]
How can I close my account?	[IN:TERMINATE_ACCOUNT How can I close my account?]
I am not sure how this will work, but I have not received a product I ordered.  I want a refund, but should I just cancel the payment?	[IN:REQUEST_REFUND I am not sure how this will work, but I have not received a product I ordered.  I want a refund, but should I just cancel the payment?]
Where can I order a card when I am in China?	[IN:CARD_ABOUT_TO_EXPIRE Where can I order a card when I am in China?]
What factors effect the exchange rate?	[IN:EXCHANGE_RATE What factors effect the exchange rate?]
Do you have the best exchange rate?	[IN:EXCHANGE_RATE Do you have the best exchange rate?]
I'm trying to purchase a flat but i need my first payment for my mortgage to go through first. I keep getting an error. I'm not sure what is going on but i need help making this transfer.	[IN:FAILED_TRANSFER I'm trying to purchase a flat but i need my first payment for my mortgage to go through first. I keep getting an error. I'm not sure what is going on but i need help making this transfer.]
How can my account have money transferred into it?	[IN:TRANSFER_INTO_ACCOUNT How can my account have money transferred into it?]
Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.	[IN:REFUND_NOT_SHOWING_UP Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.]
My account seems a bit off and getting weird charges.	[IN:TRANSACTION_CHARGED_TWICE My account seems a bit off and getting weird charges.]
My card stopped working after multiple transactions. Why?	[IN:CARD_NOT_WORKING My card stopped working after multiple transactions. Why?]
I asked for cash but I did not receive all the funds	[IN:WRONG_AMOUNT_OF_CASH_RECEIVED I asked for cash but I did not receive all the funds]
How can I check if I have received a refund if it is not yet on my statement?	[IN:REFUND_NOT_SHOWING_UP How can I check if I have received a refund if it is not yet on my statement?]
the product is not working, can I get a refund?	[IN:REQUEST_REFUND the product is not working, can I get a refund?]
If I want to can I set up a new PIN?	[IN:CHANGE_PIN If I want to can I set up a new PIN?]
I tried to add a topup to my account but the money isn't there, anymore. Did I do something wrong?	[IN:TOP_UP_REVERTED I tried to add a topup to my account but the money isn't there, anymore. Did I do something wrong?]
There must have been a mistake, why was I charged an extra pound?	[IN:EXTRA_CHARGE_ON_STATEMENT There must have been a mistake, why was I charged an extra pound?]
I ordered a virtual card but it hasn't come through yet	[IN:GETTING_VIRTUAL_CARD I ordered a virtual card but it hasn't come through yet]
How long will my transfer be pending?	[IN:PENDING_TRANSFER How long will my transfer be pending?]
Why is there a fee added to my statement?	[IN:EXTRA_CHARGE_ON_STATEMENT Why is there a fee added to my statement?]
how soon will my card arrive?	[IN:CARD_DELIVERY_ESTIMATE how soon will my card arrive?]
Why was my card declined in a shop?	[IN:DECLINED_CARD_PAYMENT Why was my card declined in a shop?]
What cards do you offer?	[IN:VISA_OR_MASTERCARD What cards do you offer?]
I would like to get help from someone in your customer service department with assisting me with activating my card.	[IN:ACTIVATE_MY_CARD I would like to get help from someone in your customer service department with assisting me with activating my card.]
Hi, would you please activate my card?	[IN:ACTIVATE_MY_CARD Hi, would you please activate my card?]
What do I do if I think someone has used my card?	[IN:COMPROMISED_CARD What do I do if I think someone has used my card?]
How do I input a new address?	[IN:EDIT_PERSONAL_DETAILS How do I input a new address?]
How to receive virtual card?	[IN:GETTING_VIRTUAL_CARD How to receive virtual card?]
Top up did not work on the app.	[IN:TOP_UP_FAILED Top up did not work on the app.]
The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?	[IN:DECLINED_CASH_WITHDRAWAL The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?]
How does identity check work?	[IN:WHY_VERIFY_IDENTITY How does identity check work?]
Is there something wrong with the ATM? It would not let me pull cash out of my account.	[IN:DECLINED_CASH_WITHDRAWAL Is there something wrong with the ATM? It would not let me pull cash out of my account.]
I found my card again. Can I put it back into the app?	[IN:CARD_LINKING I found my card again. Can I put it back into the app?]
How do I get this damn virtual card to work?	[IN:VIRTUAL_CARD_NOT_WORKING How do I get this damn virtual card to work?]
My account balance has not updated since I deposited a cheque recently.	[IN:BALANCE_NOT_UPDATED_AFTER_CHEQUE_OR_CASH_DEPOSIT My account balance has not updated since I deposited a cheque recently.]
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?	[IN:CARD_PAYMENT_WRONG_EXCHANGE_RATE My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?]
Tell me if there is a limit to top-up.	[IN:TOP_UP_LIMITS Tell me if there is a limit to top-up.]
I believe you charged me too much to exchange my money	[IN:CARD_PAYMENT_WRONG_EXCHANGE_RATE I believe you charged me too much to exchange my money]
I'd like to have extra cards. Will I have to pay for that?	[IN:GETTING_SPARE_CARD I'd like to have extra cards. Will I have to pay for that?]
What do you use to figure out the exchange rate for the card?	[IN:EXCHANGE_RATE What do you use to figure out the exchange rate for the card?]
Why is there a €1 charge on my statement?	[IN:EXTRA_CHARGE_ON_STATEMENT Why is there a €1 charge on my statement?]
Do you have any options to top up with a cheque on my account?	[IN:TOP_UP_BY_CASH_OR_CHEQUE Do you have any options to top up with a cheque on my account?]
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.	[IN:CASH_WITHDRAWAL_NOT_RECOGNISED Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.]
Since when were there charges for taking out cash from my account? It's always been free for me to do this before.  How much are the charges going to be?	[IN:CASH_WITHDRAWAL_CHARGE Since when were there charges for taking out cash from my account? It's always been free for me to do this before.  How much are the charges going to be?]
Why hasn't the app verified my identity?	[IN:UNABLE_TO_VERIFY_IDENTITY Why hasn't the app verified my identity?]
Where are the cards delivered to	[IN:ORDER_PHYSICAL_CARD Where are the cards delivered to]
Given a choice, I'd rather have Mastercard.	[IN:VISA_OR_MASTERCARD Given a choice, I'd rather have Mastercard.]
Is there a way to lookup where funds came from?	[IN:VERIFY_SOURCE_OF_FUNDS Is there a way to lookup where funds came from?]
Why is the exchange rate so high? This should have been a much higher amount of cash for that to apply.	[IN:WRONG_EXCHANGE_RATE_FOR_CASH_WITHDRAWAL Why is the exchange rate so high? This should have been a much higher amount of cash for that to apply.]
please cancel the transaction	[IN:CANCEL_TRANSFER please cancel the transaction]
