utterance	output
i want to find the first flight from baltimore to boston that serves a meal	[IN:ATIS_FLIGHT i want to find the [SL:FLIGHT_MOD first] flight from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME boston] that serves a [SL:MEAL meal]]
from seattle to salt lake city	[IN:ATIS_FLIGHT from [SL:FROMLOC.CITY_NAME seattle] to [SL:TOLOC.CITY_NAME salt lake city]]
can you show me the flights from dallas to baltimore with economy fares	[IN:ATIS_FLIGHT can you show me the flights from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME baltimore] with [SL:ECONOMY economy] fares]
what flights leave from phoenix	[IN:ATIS_FLIGHT what flights leave from [SL:FROMLOC.CITY_NAME phoenix]]
what are the flights from pittsburgh to denver	[IN:ATIS_FLIGHT what are the flights from [SL:FROMLOC.CITY_NAME pittsburgh] to [SL:TOLOC.CITY_NAME denver]]
show flights leaving miami to cleveland on us air that leave after noon	[IN:ATIS_FLIGHT show flights leaving [SL:FROMLOC.CITY_NAME miami] to [SL:TOLOC.CITY_NAME cleveland] on [SL:AIRLINE_NAME us air] that leave [SL:DEPART_TIME.TIME_RELATIVE after] [SL:DEPART_TIME.TIME noon]]
please give me a list of all the flights between dallas and baltimore and their cost	[IN:ATIS_FLIGHT#ATIS_AIRFARE please give me a list of all the flights between [SL:FROMLOC.CITY_NAME dallas] and [SL:TOLOC.CITY_NAME baltimore] and their cost]
what does fare code y mean	[IN:ATIS_ABBREVIATION what does fare code [SL:FARE_BASIS_CODE y] mean]
ground transportation in phoenix	[IN:ATIS_GROUND_SERVICE ground transportation in [SL:CITY_NAME phoenix]]
okay could you tell me what flight leaves dallas to san francisco by united airline	[IN:ATIS_FLIGHT okay could you tell me what flight leaves [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME san francisco] by [SL:AIRLINE_NAME united airline]]
show me all flights from denver to san francisco next wednesday which leave after noon	[IN:ATIS_FLIGHT show me all flights from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME san francisco] [SL:DEPART_DATE.DATE_RELATIVE next] [SL:DEPART_DATE.DAY_NAME wednesday] which leave [SL:DEPART_TIME.TIME_RELATIVE after] [SL:DEPART_TIME.TIME noon]]
is there a flight from atlanta to san francisco that stops over in denver	[IN:ATIS_FLIGHT is there a flight from [SL:FROMLOC.CITY_NAME atlanta] to [SL:TOLOC.CITY_NAME san francisco] that stops over in [SL:STOPLOC.CITY_NAME denver]]
show departures and arrivals in atlanta for american airlines	[IN:ATIS_FLIGHT show departures and arrivals in [SL:CITY_NAME atlanta] for [SL:AIRLINE_NAME american airlines]]
find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day	[IN:ATIS_FLIGHT find me the earliest flight from [SL:TOLOC.CITY_NAME boston] to [SL:FROMLOC.CITY_NAME atlanta] and the [SL:FLIGHT_MOD latest] return from [SL:FROMLOC.CITY_NAME atlanta] to [SL:TOLOC.CITY_NAME boston] within the [SL:DEPART_DATE.DATE_RELATIVE same] day]
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning	[IN:ATIS_FLIGHT i want to fly from [SL:FROMLOC.CITY_NAME milwaukee] to [SL:TOLOC.CITY_NAME [SL:OR or]lando] on either wednesday evening [SL:OR or] [SL:DEPART_DATE.DAY_NAME thursday] [SL:DEPART_TIME.PERIOD_OF_DAY m[SL:OR or]ning]]
i want a flight originating in denver going to pittsburgh and atlanta in either order	[IN:ATIS_FLIGHT i want a flight originating in [SL:FROMLOC.CITY_NAME denver] going to pittsburgh and [SL:TOLOC.CITY_NAME atlanta] in either order]
show me the flights from dallas to atlanta	[IN:ATIS_FLIGHT show me the flights from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME atlanta]]
what flights are available from denver to san francisco	[IN:ATIS_FLIGHT what flights are available from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME san francisco]]
what is the cost of a flight from boston to denver	[IN:ATIS_AIRFARE what is the cost of a flight from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME denver]]
show me the earliest flight from san jose to pittsburgh that serves a snack	[IN:ATIS_FLIGHT show me the [SL:FLIGHT_MOD earliest] flight from [SL:FROMLOC.CITY_NAME san jose] to [SL:TOLOC.CITY_NAME pittsburgh] that serves a [SL:MEAL_DESCRIPTION snack]]
could you please give me the round trip fare from denver to atlanta	[IN:ATIS_AIRFARE could you please give me the [SL:ROUND_TRIP round trip] fare from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME atlanta]]
do you have a flight leaving boston at 645 am going to washington	[IN:ATIS_FLIGHT do you have a flight leaving [SL:FROMLOC.CITY_NAME boston] at [SL:DEPART_TIME.TIME 645 am] going to [SL:TOLOC.CITY_NAME washington]]
what are all the flights into atlanta's airport	[IN:ATIS_FLIGHT what are all the flights into [SL:TOLOC.CITY_NAME atlanta's] airport]
show me the flights from atlanta to denver on friday	[IN:ATIS_FLIGHT show me the flights from [SL:FROMLOC.CITY_NAME atlanta] to [SL:TOLOC.CITY_NAME denver] on [SL:DEPART_DATE.DAY_NAME friday]]
what does fare code qx mean	[IN:ATIS_ABBREVIATION what does fare code [SL:FARE_BASIS_CODE qx] mean]
i would like information on twa flights from washington to philadelphia	[IN:ATIS_FLIGHT i would like information on [SL:AIRLINE_CODE twa] flights from [SL:FROMLOC.CITY_NAME washington] to [SL:TOLOC.CITY_NAME philadelphia]]
which airlines fly from boston to washington dc but stopover in some other city	[IN:ATIS_AIRLINE which airlines fly from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME washington] [SL:TOLOC.STATE_CODE dc] but stopover in some other city]
ground transportation in oakland	[IN:ATIS_GROUND_SERVICE ground transportation in [SL:CITY_NAME oakland]]
list all afternoon flights on united airlines from san francisco to denver	[IN:ATIS_FLIGHT list all [SL:DEPART_TIME.PERIOD_OF_DAY afternoon] flights on [SL:AIRLINE_NAME united airlines] from [SL:FROMLOC.CITY_NAME san francisco] to [SL:TOLOC.CITY_NAME denver]]
show me all flights from san francisco to pittsburgh on a monday	[IN:ATIS_FLIGHT show me all flights from [SL:FROMLOC.CITY_NAME san francisco] to [SL:TOLOC.CITY_NAME pittsburgh] on a [SL:DEPART_DATE.DAY_NAME monday]]
what is the latest flight leaving boston to denver	[IN:ATIS_FLIGHT what is the [SL:FLIGHT_MOD latest] flight leaving [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME denver]]
okay i would like to know the type of aircraft used on a flight from cleveland to dallas please	[IN:ATIS_AIRCRAFT okay i would like to know the type of aircraft used on a flight from [SL:FROMLOC.CITY_NAME cleveland] to [SL:TOLOC.CITY_NAME dallas] please]
please show me the flights from las vegas to detroit on the twenty eighth	[IN:ATIS_FLIGHT please show me the flights from [SL:FROMLOC.CITY_NAME las vegas] to [SL:TOLOC.CITY_NAME detroit] on the [SL:DEPART_DATE.DAY_NUMBER twenty eighth]]
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma	[IN:ATIS_AIRLINE what airlines fly from st. petersburg to [SL:FROMLOC.CITY_NAME milwaukee] and from [SL:FROMLOC.CITY_NAME milwaukee] to [SL:TOLOC.CITY_NAME tacoma]]
i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia	[IN:ATIS_FLIGHT i'd like to take a flight that begins in [SL:FROMLOC.CITY_NAME boston] and lands at [SL:TOLOC.CITY_NAME dallas fort worth] but i'd like to stop over in [SL:STOPLOC.CITY_NAME philadelphia]]
give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	[IN:ATIS_FLIGHT give me the [SL:FLIGHT_MOD earliest] flight [SL:DEPART_DATE.TODAY_RELATIVE tomorrow] on [SL:AIRLINE_NAME united airlines] from [SL:FROMLOC.CITY_NAME st. petersburg] to [SL:TOLOC.CITY_NAME milwaukee]]
american airlines from denver to milwaukee	[IN:ATIS_FLIGHT [SL:AIRLINE_NAME american airlines] from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME milwaukee]]
what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	[IN:ATIS_FLIGHT what flight is available at [SL:DEPART_TIME.TIME noontime] from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME washington] what flight is available [SL:DEPART_TIME.TIME_RELATIVE around] [SL:DEPART_TIME.TIME noontime] from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME washington]]
i need a return flight from philadelphia to boston	[IN:ATIS_FLIGHT i need a return flight from [SL:FROMLOC.CITY_NAME philadelphia] to [SL:TOLOC.CITY_NAME boston]]
northwest flights with stops in denver	[IN:ATIS_FLIGHT [SL:AIRLINE_NAME northwest] flights with stops in [SL:STOPLOC.CITY_NAME denver]]
what is the first class fare from baltimore to dallas	[IN:ATIS_AIRFARE what is the [SL:CLASS_TYPE first class] fare from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME dallas]]
could you please tell me the airlines that fly from toronto to san diego	[IN:ATIS_AIRLINE could you please tell me the airlines that fly from [SL:FROMLOC.CITY_NAME toronto] to [SL:TOLOC.CITY_NAME san diego]]
what is the earliest flight from memphis to cincinnati on june thirtieth	[IN:ATIS_FLIGHT what is the [SL:FLIGHT_MOD earliest] flight from [SL:FROMLOC.CITY_NAME memphis] to [SL:TOLOC.CITY_NAME cincinnati] on [SL:DEPART_DATE.MONTH_NAME june] [SL:DEPART_DATE.DAY_NUMBER thirtieth]]
show me the nonstop flights from dallas to houston	[IN:ATIS_FLIGHT show me the [SL:FLIGHT_STOP nonstop] flights from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME houston]]
show me economy fares from dallas to baltimore	[IN:ATIS_AIRFARE show me [SL:ECONOMY economy] fares from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME baltimore]]
i would like a flight on continental airlines on august twentieth from washington to pittsburgh	[IN:ATIS_FLIGHT i would like a flight on [SL:AIRLINE_NAME continental airlines] on [SL:DEPART_DATE.MONTH_NAME august] [SL:DEPART_DATE.DAY_NUMBER twentieth] from [SL:FROMLOC.CITY_NAME washington] to [SL:TOLOC.CITY_NAME pittsburgh]]
do you have a flight on wednesday from denver to washington dc nonstop	[IN:ATIS_FLIGHT do you have a flight on [SL:DEPART_DATE.DAY_NAME wednesday] from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME washington] [SL:TOLOC.STATE_CODE dc] [SL:FLIGHT_STOP nonstop]]
what is ewr	[IN:ATIS_ABBREVIATION what is [SL:AIRPORT_CODE ewr]]
i want to fly boston to san francisco	[IN:ATIS_FLIGHT i want to fly [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME san francisco]]
what flight leaves dallas for atlanta on august twenty seventh in the evening	[IN:ATIS_FLIGHT what flight leaves [SL:FROMLOC.CITY_NAME dallas] for [SL:TOLOC.CITY_NAME atlanta] on [SL:DEPART_DATE.MONTH_NAME august] [SL:DEPART_DATE.DAY_NUMBER twenty seventh] in the [SL:DEPART_TIME.PERIOD_OF_DAY evening]]
wednesday morning flights between baltimore and newark	[IN:ATIS_FLIGHT [SL:DEPART_DATE.DAY_NAME wednesday] [SL:DEPART_TIME.PERIOD_OF_DAY morning] flights between [SL:FROMLOC.CITY_NAME baltimore] and [SL:TOLOC.CITY_NAME newark]]
show me flights from dallas to pittsburgh	[IN:ATIS_FLIGHT show me flights from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME pittsburgh]]
what flights are there arriving in chicago on continental after 11 pm	[IN:ATIS_FLIGHT what flights are there arriving in [SL:TOLOC.CITY_NAME chicago] on [SL:AIRLINE_NAME continental] [SL:ARRIVE_TIME.TIME_RELATIVE after] [SL:ARRIVE_TIME.TIME 11 pm]]
what is the lowest cost fare that delta has between boston and san francisco	[IN:ATIS_AIRFARE what is the [SL:COST_RELATIVE lowest cost] fare that [SL:AIRLINE_NAME delta] has between [SL:FROMLOC.CITY_NAME boston] and [SL:TOLOC.CITY_NAME san francisco]]
i'd like to go from boston to san francisco	[IN:ATIS_FLIGHT i'd like to go from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME san francisco]]
round trip air fares from pittsburgh to philadelphia less than 1000 dollars	[IN:ATIS_AIRFARE [SL:ROUND_TRIP round trip] air fares from [SL:FROMLOC.CITY_NAME pittsburgh] to [SL:TOLOC.CITY_NAME philadelphia] [SL:COST_RELATIVE less] than [SL:FARE_AMOUNT 1000 dollars]]
does any airline have a jet flight between pittsburgh and baltimore	[IN:ATIS_AIRLINE does any airline have a jet flight between [SL:FROMLOC.CITY_NAME pittsburgh] and [SL:TOLOC.CITY_NAME baltimore]]
what is mco	[IN:ATIS_ABBREVIATION what is [SL:AIRPORT_CODE mco]]
show me the flights from newark new jersey to ontario international next saturday	[IN:ATIS_FLIGHT show me the flights from [SL:FROMLOC.CITY_NAME newark] [SL:FROMLOC.STATE_NAME new jersey] to [SL:TOLOC.AIRPORT_NAME ontario international] [SL:DEPART_DATE.DATE_RELATIVE next] [SL:DEPART_DATE.DAY_NAME saturday]]
i want to fly from dallas fort worth to philadelphia	[IN:ATIS_FLIGHT i want to fly from [SL:FROMLOC.CITY_NAME dallas fort worth] to [SL:TOLOC.CITY_NAME philadelphia]]
show me flights between new york city and las vegas	[IN:ATIS_FLIGHT show me flights between [SL:FROMLOC.CITY_NAME new york city] and [SL:TOLOC.CITY_NAME las vegas]]
how long does it take to get from atlanta airport into the city of atlanta	[IN:ATIS_DISTANCE how long does it take to get from [SL:FROMLOC.AIRPORT_NAME [SL:TOLOC.CITY_NAME atlanta] airport] into the city of [SL:TOLOC.CITY_NAME atlanta]]
show me all first class prices from dallas to baltimore	[IN:ATIS_AIRFARE show me all [SL:CLASS_TYPE first class] prices from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME baltimore]]
is there a flight between san francisco and boston with a stopover in dallas fort worth	[IN:ATIS_FLIGHT is there a flight between [SL:FROMLOC.CITY_NAME san francisco] and [SL:TOLOC.CITY_NAME boston] with a stopover in [SL:STOPLOC.CITY_NAME dallas fort worth]]
show me ground transportation information for san francisco	[IN:ATIS_GROUND_SERVICE show me ground transportation information for [SL:CITY_NAME san francisco]]
need an inexpensive flight from baltimore to san francisco	[IN:ATIS_FLIGHT need an [SL:FLIGHT_MOD inexpensive] flight from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME san francisco]]
find the earliest flight from boston to oakland that serves breakfast	[IN:ATIS_FLIGHT find the [SL:FLIGHT_MOD earliest] flight from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME oakland] that serves [SL:MEAL_DESCRIPTION breakfast]]
i'd like to fly from philadelphia to dallas to san francisco	[IN:ATIS_FLIGHT i'd like to fly from [SL:FROMLOC.CITY_NAME philadelphia] to dallas to [SL:TOLOC.CITY_NAME san francisco]]
show me all the direct flights from atlanta to baltimore	[IN:ATIS_FLIGHT show me all the [SL:CONNECT direct] flights from [SL:FROMLOC.CITY_NAME atlanta] to [SL:TOLOC.CITY_NAME baltimore]]
latest flight from houston to san jose	[IN:ATIS_FLIGHT [SL:FLIGHT_MOD latest] flight from [SL:FROMLOC.CITY_NAME houston] to [SL:TOLOC.CITY_NAME san jose]]
what're the flights from new york city to las vegas that arrive on a sunday	[IN:ATIS_FLIGHT what're the flights from [SL:FROMLOC.CITY_NAME new york city] to [SL:TOLOC.CITY_NAME las vegas] that arrive on a [SL:ARRIVE_DATE.DAY_NAME sunday]]
i would like to fly united airlines from washington dc to denver colorado	[IN:ATIS_FLIGHT i would like to fly [SL:AIRLINE_NAME united airlines] from [SL:FROMLOC.CITY_NAME washington] [SL:FROMLOC.STATE_CODE dc] to [SL:TOLOC.CITY_NAME denver] [SL:TOLOC.STATE_NAME colorado]]
okay i need to see economy flights on united between dallas and baltimore	[IN:ATIS_FLIGHT okay i need to see [SL:ECONOMY economy] flights on [SL:AIRLINE_NAME united] between [SL:FROMLOC.CITY_NAME dallas] and [SL:TOLOC.CITY_NAME baltimore]]
please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast	[IN:ATIS_FLIGHT please show me flights from [SL:FROMLOC.CITY_NAME pittsburgh] to [SL:TOLOC.CITY_NAME atlanta] on [SL:DEPART_DATE.DAY_NAME wednesday] [SL:DEPART_TIME.PERIOD_OF_DAY morning] serving [SL:MEAL_DESCRIPTION breakfast]]
i need information for flights leaving baltimore and arriving in atlanta	[IN:ATIS_FLIGHT i need information for flights leaving [SL:FROMLOC.CITY_NAME baltimore] and arriving in [SL:TOLOC.CITY_NAME atlanta]]
show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow	[IN:ATIS_FLIGHT show me all flights from [SL:FROMLOC.CITY_NAME san francisco] to [SL:TOLOC.CITY_NAME pittsburgh] which arrive in [SL:TOLOC.CITY_NAME pittsburgh] [SL:ARRIVE_TIME.TIME_RELATIVE before] [SL:ARRIVE_TIME.TIME 9 o'clock am] [SL:ARRIVE_DATE.TODAY_RELATIVE tomorrow]]
show me the fares from dallas to san francisco	[IN:ATIS_AIRFARE show me the fares from [SL:FROMLOC.CITY_NAME dallas] to [SL:TOLOC.CITY_NAME san francisco]]
please give me flights available from baltimore to philadelphia	[IN:ATIS_FLIGHT please give me flights available from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME philadelphia]]
what are the flights on january first 1992 from boston to san francisco	[IN:ATIS_FLIGHT what are the flights on [SL:DEPART_DATE.MONTH_NAME january] [SL:DEPART_DATE.DAY_NUMBER first] [SL:DEPART_DATE.YEAR 1992] from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME san francisco]]
flights from denver to baltimore between 10 am and 2 pm	[IN:ATIS_FLIGHT flights from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME baltimore] between [SL:DEPART_TIME.START_TIME 10 am] and [SL:DEPART_TIME.END_TIME 2 pm]]
what ground transportation is there in atlanta	[IN:ATIS_GROUND_SERVICE what ground transportation is there in [SL:CITY_NAME atlanta]]
list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm	[IN:ATIS_FLIGHT list [SL:FLIGHT_STOP nonstop] flights from baltimore [SL:FROMLOC.CITY_NAME washington] to [SL:TOLOC.CITY_NAME oakland] that arrive between [SL:ARRIVE_TIME.START_TIME 445] and [SL:ARRIVE_TIME.END_TIME 515 pm]]
show flights from baltimore to san francisco between 6 pm and 8 pm on friday	[IN:ATIS_FLIGHT show flights from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME san francisco] between [SL:DEPART_TIME.START_TIME 6 pm] and [SL:DEPART_TIME.END_TIME 8 pm] on [SL:DEPART_DATE.DAY_NAME friday]]
i want to fly from denver to san francisco	[IN:ATIS_FLIGHT i want to fly from [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME san francisco]]
coach fares only weekdays for denver to boston	[IN:ATIS_AIRFARE [SL:CLASS_TYPE coach] fares [SL:FLIGHT_MOD only weekdays] for [SL:FROMLOC.CITY_NAME denver] to [SL:TOLOC.CITY_NAME boston]]
what are the coach fares for flights from newark to la leaving after 3 pm	[IN:ATIS_AIRFARE what are the [SL:CLASS_TYPE coach] fares for flights from [SL:FROMLOC.CITY_NAME newark] to [SL:TOLOC.CITY_NAME la] leaving [SL:DEPART_TIME.TIME_RELATIVE after] [SL:DEPART_TIME.TIME 3 pm]]
from philadelphia to toronto	[IN:ATIS_FLIGHT from [SL:FROMLOC.CITY_NAME philadelphia] to [SL:TOLOC.CITY_NAME toronto]]
i would like a nonstop flight from philadelphia to pittsburgh	[IN:ATIS_FLIGHT i would like a [SL:FLIGHT_STOP nonstop] flight from [SL:FROMLOC.CITY_NAME philadelphia] to [SL:TOLOC.CITY_NAME pittsburgh]]
what are my choices of flights leaving early afternoon from minneapolis to indianapolis	[IN:ATIS_FLIGHT what are my choices of flights leaving early [SL:DEPART_TIME.PERIOD_OF_DAY afternoon] from [SL:FROMLOC.CITY_NAME minneapolis] to [SL:TOLOC.CITY_NAME indianapolis]]
what is the cheapest flight flying from boston to atlanta before 8	[IN:ATIS_FLIGHT what is the [SL:COST_RELATIVE cheapest] flight flying from [SL:FROMLOC.CITY_NAME boston] to [SL:TOLOC.CITY_NAME atlanta] [SL:DEPART_TIME.TIME_RELATIVE before] [SL:DEPART_TIME.TIME 8]]
list possible round trip daily flights between boston and oakland	[IN:ATIS_FLIGHT list possible [SL:ROUND_TRIP round trip] [SL:FLIGHT_DAYS daily] flights between [SL:FROMLOC.CITY_NAME boston] and [SL:TOLOC.CITY_NAME oakland]]
please give me round trip fares from baltimore to philadelphia	[IN:ATIS_AIRFARE please give me [SL:ROUND_TRIP round trip] fares from [SL:FROMLOC.CITY_NAME baltimore] to [SL:TOLOC.CITY_NAME philadelphia]]
find a flight from long beach to st. louis stopping in dallas	[IN:ATIS_FLIGHT find a flight from [SL:FROMLOC.CITY_NAME long beach] to [SL:TOLOC.CITY_NAME st. louis] stopping in [SL:STOPLOC.CITY_NAME dallas]]
please list the flights from st. paul to kansas city on friday night that serve meals	[IN:ATIS_FLIGHT please list the flights from [SL:FROMLOC.CITY_NAME st. paul] to [SL:TOLOC.CITY_NAME kansas city] on [SL:DEPART_DATE.DAY_NAME friday] [SL:DEPART_TIME.PERIOD_OF_DAY night] that serve [SL:MEAL meals]]
