utterance	output
我要听幸福的两口子。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 幸福的两口子]。]
播放奇迹再现	[IN:PLAYMUSIC 播放[SL:SONG_NAME 奇迹再现]]
我想听刘德华歌	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 刘德华]歌]
我想听不要忘记我爱你！	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 不要忘记我爱你]！]
播放周杰伦的等你下课	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 周杰伦]的[SL:SONG_NAME 等你下课]]
给我讲一个爱探险的朵拉	[IN:PLAYFMSTORY 给我讲一个[SL:STORY_NAME 爱探险的朵拉]]
我想听一次就好这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 一次就好]这首歌。]
来一首逆战。	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 逆战]。]
我想听荷塘月色。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 荷塘月色]。]
我要听邓丽君的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 邓丽君]的歌]
播放森林狂想曲	[IN:PLAYMUSIC 播放[SL:SONG_NAME 森林狂想曲]]
放英语儿歌	[IN:PLAYMUSIC 放[SL:SONG_LANGUAGE 英语][SL:SONG_TYPE 儿歌]]
烛光里的妈妈歌	[IN:PLAYMUSIC [SL:SONG_NAME 烛光里的妈妈]歌]
播放一首比较嗨的英文歌	[IN:PLAYMUSIC 播放一首比较嗨的[SL:SONG_TYPE 英文]歌]
我想听我要你。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 我要你]。]
我想听毛不易的渡情	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 毛不易]的[SL:SONG_NAME 渡情]]
我想听张北北的拥抱你离去	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 张北北]的[SL:SONG_NAME 拥抱你离去]]
我想听双笙的我的一个道姑朋友	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 双笙]的[SL:SONG_NAME 我的一个道姑朋友]]
云菲菲的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 云菲菲]的歌]
我想听李白这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 李白]这首歌。]
明早七点叫我起床	[IN:REMIND [SL:DATE 明早七点]叫我[SL:EVENT 起床]]
我要听刘昊霖的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 刘昊霖]的歌]
小红帽。	[IN:PLAYMUSIC [SL:SONG_NAME 小红帽]。]
一二三我爱你	[IN:PLAYMUSIC [SL:SONG_NAME 一二三我爱你]]
我要听听boy的歌。	[IN:PLAYMUSIC 我要听听[SL:SINGER_NAME boy]的歌。]
听彩云追月	[IN:PLAYMUSIC 听[SL:SONG_NAME 彩云追月]]
来首十一年	[IN:PLAYMUSIC 来首[SL:SONG_NAME 十一年]]
腾格尔的歌呢	[IN:PLAYMUSIC [SL:SINGER_NAME 腾格尔]的歌呢]
播放中国寓言故事	[IN:PLAYFMSTORY 播放[SL:STORY_NAME 中国寓言故事]]
我想听天路。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 天路]。]
唱一首小三了。	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 小三]了。]
播放那一夜	[IN:PLAYMUSIC 播放[SL:SONG_NAME 那一夜]]
播放梁静茹的歌	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 梁静茹]的歌]
一定歌曲。	[IN:PLAYMUSIC [SL:SONG_NAME 一定]歌曲。]
我想听小鸭子的歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 小鸭子]的歌。]
我想听莫文蔚的慢慢喜欢你	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 莫文蔚]的[SL:SONG_NAME 慢慢喜欢你]]
我想听赵雷的画	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 赵雷]的画]
播放东四环的雪歌曲。	[IN:PLAYMUSIC 播放[SL:SONG_NAME 东四环的雪]歌曲。]
来首咱们这个屯儿	[IN:PLAYMUSIC 来首[SL:SONG_NAME 咱们这个屯儿]]
唱一首数鸭子	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 数鸭子]]
你唱一首红豆给我听听好吗？	[IN:PLAYMUSIC 你唱一首[SL:SONG_NAME 红豆]给我听听好吗？]
我想听一人饮酒醉。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 一人饮酒醉]。]
听老狼的同桌的你	[IN:PLAYMUSIC 听[SL:SINGER_NAME 老狼]的[SL:SONG_NAME 同桌的你]]
放个轻音乐	[IN:PLAYMUSIC 放个[SL:SONG_TYPE 轻音乐]]
我想听白小白的最后我们没在一起	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 白小白]的[SL:SONG_NAME 最后我们没在一起]]
播放莫文蔚的歌	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 莫文蔚]的歌]
刚好遇见你歌曲	[IN:PLAYMUSIC [SL:SONG_NAME 刚好遇见你]歌曲]
放一首维塔斯的歌	[IN:PLAYMUSIC 放一首[SL:SINGER_NAME 维塔斯]的歌]
唱一首石头唱的给你们。	[IN:PLAYMUSIC 唱一首[SL:SINGER_NAME 石头]唱的[SL:SONG_NAME 给你们]。]
我想听有点意思，这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 有点意思]，这首歌。]
齐天	[IN:PLAYMUSIC [SL:SONG_NAME 齐天]]
有点儿意思，鹿晗的歌	[IN:PLAYMUSIC [SL:SONG_NAME 有点儿意思]，[SL:SINGER_NAME 鹿晗]的歌]
唱歌深海少女	[IN:PLAYMUSIC 唱歌[SL:SONG_NAME 深海少女]]
陈奕迅歌	[IN:PLAYMUSIC [SL:SINGER_NAME 陈奕迅]歌]
张鑫鑫的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 张鑫鑫]的歌]
唱一首歌 当你老了	[IN:PLAYMUSIC 唱一首歌 [SL:SONG_NAME 当你老了]]
胡歌和林心如	[IN:PLAYMUSIC 胡歌和[SL:SINGER_NAME 林心如]]
听猫	[IN:PLAYMUSIC 听猫]
名侦探柯南片尾曲	[IN:PLAYMUSIC [SL:ALBUM_NAME 名侦探柯南][SL:SONG_TYPE 片尾曲]]
听个小燕子吧！	[IN:PLAYMUSIC 听个[SL:SONG_NAME 小燕子]吧！]
我想听一只哈巴狗。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 一只哈巴狗]。]
我要听义勇军进行曲。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 义勇军进行曲]。]
我要听倍儿爽。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 倍儿爽]。]
唱个孙燕姿的歌	[IN:PLAYMUSIC 唱个[SL:SINGER_NAME 孙燕姿]的歌]
播放歌曲，夜空中最亮的星。	[IN:PLAYMUSIC 播放歌曲，[SL:SONG_NAME 夜空中最亮的星]。]
李宗盛的山丘	[IN:PLAYMUSIC [SL:SINGER_NAME 李宗盛]的[SL:SONG_NAME 山丘]]
唱情人	[IN:PLAYMUSIC 唱[SL:SONG_NAME 情人]]
我想听螺丝钉的故事	[IN:PLAYFMSTORY 我想听[SL:STORY_NAME 螺丝钉]的故事]
我想听刘欢的好汉歌	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 刘欢]的[SL:SONG_NAME 好汉歌]]
打开阿宝的深深歌曲。	[IN:PLAYMUSIC 打开[SL:SINGER_NAME 阿宝]的[SL:SONG_NAME 深深]歌曲。]
播放王嘉尔的歌	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 王嘉尔]的歌]
唱一首拔萝卜	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 拔萝卜]]
你能给我唱首五月天的歌吗，	[IN:PLAYMUSIC 你能给我唱首[SL:SINGER_NAME 五月天]的歌吗，]
会唱阿悄的还是爱你吗	[IN:PLAYMUSIC 会唱[SL:SINGER_NAME 阿悄]的[SL:SONG_NAME 还是爱你]吗]
我要听狂浪	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 狂浪]]
播放认真地老去	[IN:PLAYMUSIC 播放[SL:SONG_NAME 认真地老去]]
请给我讲白雪公主的故事	[IN:PLAYFMSTORY 请给我讲[SL:STORY_NAME 白雪公主]的故事]
唱一首流浪	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 流浪]]
歌曲咱当兵的。	[IN:PLAYMUSIC 歌曲[SL:SONG_NAME 咱当兵的]。]
我要听我想听儿童故事汪汪队立大功	[IN:PLAYFMSTORY 我要听我想听[SL:STORY_TAG 儿童]故事[SL:STORY_NAME 汪汪队立大功]]
我想听山歌。	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 山歌]。]
我要听双飞。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 双飞]。]
再来一首周杰伦的歌	[IN:PLAYMUSIC 再来一首[SL:SINGER_NAME 周杰伦]的歌]
推荐一首纯音乐	[IN:PLAYMUSIC 推荐一首[SL:SONG_TYPE 纯音乐]]
唱首莫文蔚的歌	[IN:PLAYMUSIC 唱首[SL:SINGER_NAME 莫文蔚]的歌]
汪苏泷的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 汪苏泷]的歌]
谭维维的歌曲，华阴老腔	[IN:PLAYMUSIC [SL:SINGER_NAME 谭维维]的歌曲，[SL:SONG_NAME 华阴老腔]]
搜索歌曲虫儿飞。	[IN:PLAYMUSIC 搜索歌曲[SL:SONG_NAME 虫儿飞]。]
我要听宋词三百首	[IN:PLAYPOEM 我要听[SL:POEM_NAME 宋词三百首]]
播放王菲的红豆	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 王菲]的[SL:SONG_NAME 红豆]]
我要听一首歌，拜新年。	[IN:PLAYMUSIC 我要听一首歌，[SL:SONG_NAME 拜新年]。]
放一首出山	[IN:PLAYMUSIC 放一首[SL:SONG_NAME 出山]]
我想听杀猪刀	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 杀猪刀]]
粤剧	[IN:PLAYMUSIC [SL:SONG_TYPE 粤剧]]
我想听大王叫我来巡山。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 大王叫我来巡山]。]
唱汪峰的歌	[IN:PLAYMUSIC 唱[SL:SINGER_NAME 汪峰]的歌]
我忘了,你给我唱一首太阳出来喜洋洋。	[IN:PLAYMUSIC 我忘了,你给我唱一首[SL:SONG_NAME 太阳出来喜洋洋]。]
我想听山路十八弯。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 山路十八弯]。]
关于恶魔校草的言情小说	[IN:PLAYFMFICTION 关于恶魔校草的[SL:FICTION_TAG 言情]小说]
请播放高高的兴安岭	[IN:PLAYMUSIC 请播放[SL:SONG_NAME 高高的兴安岭]]
我想听王凯唱的歌。	[IN:PLAYMUSIC 我想听[SL:SINGER_NAME 王凯]唱的歌。]
卖报歌	[IN:PLAYMUSIC [SL:SONG_NAME 卖报歌]]
我要听经典绘本故事	[IN:PLAYFMSTORY 我要听经典[SL:STORY_TAG 绘本]故事]
播放任贤齐的	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 任贤齐]的]
我要听青藏高原	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 青藏高原]]
明天早上七点半叫我起床	[IN:REMIND [SL:DATE 明天早上七点半]叫我[SL:EVENT 起床]]
继续播放米小圈上学记	[IN:PLAYFMSTORY 继续播放[SL:STORY_NAME 米小圈上学记]]
我想听丑八怪。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 丑八怪]。]
播放阿里巴巴	[IN:PLAYMUSIC 播放[SL:SONG_NAME 阿里巴巴]]
来一首丑八怪。	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 丑八怪]。]
有可能的夜晚歌曲。	[IN:PLAYMUSIC [SL:SONG_NAME 有可能的夜晚]歌曲。]
谭咏麟最经典演唱会	[IN:PLAYMUSIC [SL:SINGER_NAME 谭咏麟]最经典[SL:SONG_TYPE 演唱会]]
给我放一些京剧	[IN:PLAYMUSIC 给我放一些[SL:SONG_TYPE 京剧]]
给我唱一首宋祖英的歌	[IN:PLAYMUSIC 给我唱一首[SL:SINGER_NAME 宋祖英]的歌]
播放郑秀文的歌曲	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 郑秀文]的歌曲]
左手指月	[IN:PLAYMUSIC [SL:SONG_NAME 左手指月]]
薛之谦唱的	[IN:PLAYMUSIC [SL:SINGER_NAME 薛之谦]唱的]
山水之间歌词	[IN:PLAYMUSIC [SL:SONG_NAME 山水之间]歌词]
我想听小宝贝这首歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 小宝贝]这首歌。]
播放同桌的你	[IN:PLAYMUSIC 播放[SL:SONG_NAME 同桌的你]]
唱一首小水果。	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 小水果]。]
预告明天南宁天气	[IN:GETWEATHER 预告[SL:DATE 明天][SL:LOCATION 南宁]天气]
会,给我放一首小白兔乖乖。	[IN:PLAYMUSIC 会,给我放一首[SL:SONG_NAME 小白兔乖乖]。]
来首钢琴曲	[IN:PLAYMUSIC 来首[SL:SONG_TYPE 钢琴曲]]
花儿乐队的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 花儿乐队]的歌]
讲个胡歌的段子	[IN:PLAYFMJOKE 讲个[SL:JOKE_TAG 胡歌]的段子]
我想听世间始终你好。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 世间始终你好]。]
我想听一剪梅。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 一剪梅]。]
给我唱首蔡依林的歌	[IN:PLAYMUSIC 给我唱首[SL:SINGER_NAME 蔡依林]的歌]
来首五月天	[IN:PLAYMUSIC 来首[SL:SINGER_NAME 五月天]]
给我唱内疚	[IN:PLAYMUSIC 给我唱[SL:SONG_NAME 内疚]]
放一首棉花糖	[IN:PLAYMUSIC 放一首[SL:SONG_NAME 棉花糖]]
给我唱首小苹果筷子兄弟。	[IN:PLAYMUSIC 给我唱首[SL:SONG_NAME 小苹果][SL:SINGER_NAME 筷子兄弟]。]
来一首鹿晗的歌	[IN:PLAYMUSIC 来一首[SL:SINGER_NAME 鹿晗]的歌]
海来阿木阿果吉曲	[IN:PLAYMUSIC [SL:SINGER_NAME 海来阿木][SL:SONG_NAME 阿果吉曲]]
唱首歌周杰伦的歌	[IN:PLAYMUSIC 唱首歌[SL:SINGER_NAME 周杰伦]的歌]
给我放一首小苹果。	[IN:PLAYMUSIC 给我放一首[SL:SONG_NAME 小苹果]。]
听有个爱你的人不容易这首歌。	[IN:PLAYMUSIC 听[SL:SONG_NAME 有个爱你的人不容易]这首歌。]
我要听感恩的心。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 感恩的心]。]
唱一首假如。	[IN:PLAYMUSIC 唱一首[SL:SONG_NAME 假如]。]
播放蔡琴的读你	[IN:PLAYMUSIC 播放[SL:SINGER_NAME 蔡琴]的[SL:SONG_NAME 读你]]
倒计时二十分钟	[IN:REMIND 倒计时[SL:DATE 二十分钟]]
公主故事	[IN:PLAYFMSTORY [SL:STORY_TAG 公主]故事]
你唱一首孙燕姿的遇见	[IN:PLAYMUSIC 你唱一首[SL:SINGER_NAME 孙燕姿]的[SL:SONG_NAME 遇见]]
播放葫芦娃儿歌	[IN:PLAYMUSIC 播放[SL:SONG_NAME 葫芦娃][SL:SONG_TYPE 儿歌]]
我要听卢冠廷的歌	[IN:PLAYMUSIC 我要听[SL:SINGER_NAME 卢冠廷]的歌]
来一首生僻字	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 生僻字]]
放我们不一样	[IN:PLAYMUSIC 放[SL:SONG_NAME 我们不一样]]
离人	[IN:PLAYMUSIC [SL:SONG_NAME 离人]]
播放黎明前的黑暗	[IN:PLAYMUSIC 播放[SL:SONG_NAME 黎明前的黑暗]]
摇篮曲啊	[IN:PLAYMUSIC [SL:SONG_TYPE 摇篮曲]啊]
张信哲的歌都还蛮喜欢的	[IN:PLAYMUSIC [SL:SINGER_NAME 张信哲]的歌都还蛮喜欢的]
唱歌唱休闲歌曲。	[IN:PLAYMUSIC 唱歌唱[SL:SONG_TYPE 休闲歌曲]。]
我想听我发的城堡这首歌。	[IN:PLAYMUSIC 我想听我发的[SL:SONG_NAME 城堡]这首歌。]
tfboys的歌。	[IN:PLAYMUSIC [SL:SINGER_NAME tfboys]的歌。]
唱首鹿晗的歌来听听	[IN:PLAYMUSIC 唱首[SL:SINGER_NAME 鹿晗]的歌来听听]
来一首怀念青春	[IN:PLAYMUSIC 来一首[SL:SONG_NAME 怀念青春]]
我要听今天的新闻	[IN:GETNEWS 我要听[SL:NEWS_TIME 今天]的新闻]
我想听冰雪奇缘	[IN:PLAYFMSTORY 我想听[SL:STORY_NAME 冰雪奇缘]]
你会唱初音未来的歌吗？	[IN:PLAYMUSIC 你会唱[SL:SINGER_NAME 初音未来]的歌吗？]
我想听天之大。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 天之大]。]
城里有个姑娘叫小芳，这首歌我想听。	[IN:PLAYMUSIC 城里有个姑娘叫[SL:SONG_NAME 小芳]，这首歌我想听。]
江雪	[IN:PLAYPOEM [SL:POEM_NAME 江雪]]
萧敬腾的王妃	[IN:PLAYMUSIC [SL:SINGER_NAME 萧敬腾]的[SL:SONG_NAME 王妃]]
播放bingbingbing歌曲	[IN:PLAYMUSIC 播放[SL:SONG_NAME bingbingbing]歌曲]
薛之谦 歌曲	[IN:PLAYMUSIC [SL:SINGER_NAME 薛之谦] 歌曲]
唱一切还好	[IN:PLAYMUSIC 唱[SL:SONG_NAME 一切还好]]
妹妹唱两只蝴蝶	[IN:PLAYMUSIC 妹妹唱[SL:SONG_NAME 两只蝴蝶]]
播放一首男大当婚女大当嫁	[IN:PLAYMUSIC 播放一首[SL:SONG_NAME 男大当婚女大当嫁]]
陈瑞的歌曲。	[IN:PLAYMUSIC [SL:SINGER_NAME 陈瑞]的歌曲。]
小问今天天气怎么样	[IN:GETWEATHER 小问[SL:DATE 今天]天气怎么样]
播放歌在飞。	[IN:PLAYMUSIC 播放[SL:SONG_NAME 歌在飞]。]
逃跑计划乐队	[IN:PLAYMUSIC [SL:SINGER_NAME 逃跑计划]乐队]
放一首三字经	[IN:PLAYPOEM 放一首[SL:POEM_NAME 三字经]]
我想听佛系少女	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 佛系少女]]
我想听明天会更好	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 明天会更好]]
我要听忘情水的歌。	[IN:PLAYMUSIC 我要听[SL:SONG_NAME 忘情水]的歌。]
帮我搜一下丑八怪歌曲，我要先听。	[IN:PLAYMUSIC 帮我搜一下[SL:SONG_NAME 丑八怪]歌曲，我要先听。]
要倾城这首歌曲。	[IN:PLAYMUSIC [SL:SONG_NAME 要倾城]这首歌曲。]
我想听三只小猪的歌。	[IN:PLAYMUSIC 我想听[SL:SONG_NAME 三只小猪]的歌。]
痛仰乐队的歌	[IN:PLAYMUSIC [SL:SINGER_NAME 痛仰乐队]的歌]
我想听游戏那个歌。	[IN:PLAYMUSIC 我想听[SL:SONG_TYPE 游戏]那个歌。]
